setup,error,v score,r score
10000 10 lin-lin,0.05,1,1
10000 50 lin-lin,0.05,0.041091326,0.011942374
10000 100 lin-lin,0.05,0.049006952,0.056878408
10000 10 lin-slin,0.05,1,1
10000 50 lin-slin,0.05,0.038289875,0.019040965
10000 100 lin-slin,0.05,0.029945601,0.036586824
10000 10 lin-invlin,0.05,1,1
10000 50 lin-invlin,0.05,0.03198614,0.039164968
10000 100 lin-invlin,0.05,0.043834251,0.04532377
10000 10 lin-randlin,0.05,1,1
10000 50 lin-randlin,0.05,0.05051193,0.064284405
10000 100 lin-randlin,0.05,0.028170821,0.035913312
10000 10 lin-zipf,0.05,1,1
10000 50 lin-zipf,0.05,0.033767048,0.155486749
10000 100 lin-zipf,0.05,0.054899644,0.075523075
10000 10 zipf-zipf,0.05,0.9875,0.99604951
10000 50 zipf-zipf,0.05,0.060111989,0.322424182
10000 100 zipf-zipf,0.05,0.043847166,0.241449125
10000 10 zipf-randzipf,0.05,0.9875,0.987343082
10000 50 zipf-randzipf,0.05,0.054879573,0.208991539
10000 100 zipf-randzipf,0.05,0.06095052,0.18895564
10000 10 zipf-invzipf,0.05,1,1
10000 50 zipf-invzipf,0.05,0.055029384,0.214549304
10000 100 zipf-invzipf,0.05,0.073410989,0.194022531
1000000 10 lin-lin,0.05,1,1
1000000 50 lin-lin,0.05,0.04118561,0.002224025
1000000 100 lin-lin,0.05,0.046871652,0.059356222
1000000 10 lin-slin,0.05,0.975,0.96396536
1000000 50 lin-slin,0.05,0.022686164,0.009553633
1000000 100 lin-slin,0.05,0.05338627,0.071725795
1000000 10 lin-invlin,0.05,1,1
1000000 50 lin-invlin,0.05,0.031845171,0.040037566
1000000 100 lin-invlin,0.05,0.057574623,0.07075528
1000000 10 lin-randlin,0.05,1,1
1000000 50 lin-randlin,0.05,0.030040957,0.025219422
1000000 100 lin-randlin,0.05,0.068071102,0.077850593
1000000 10 lin-zipf,0.05,1,1
1000000 50 lin-zipf,0.05,0.044893683,0.22402748
1000000 100 lin-zipf,0.05,0.045165992,0.086364033
1000000 10 zipf-zipf,0.05,1,1
1000000 50 zipf-zipf,0.05,0.042501277,0.326622347
1000000 100 zipf-zipf,0.05,0.089878304,0.289592525
1000000 10 zipf-randzipf,0.05,1,1
1000000 50 zipf-randzipf,0.05,0.029074176,0.129178163
1000000 100 zipf-randzipf,0.05,0.060889631,0.171777855
1000000 10 zipf-invzipf,0.05,1,1
1000000 50 zipf-invzipf,0.05,0.031932822,0.165617596
1000000 100 zipf-invzipf,0.05,0.094895016,0.296004599
1000000 10 lin-lin,0.1,0.9875,0.982951428
1000000 50 lin-lin,0.1,0.048164871,0.010606715
1000000 100 lin-lin,0.1,0.043507819,0.047645603
1000000 10 lin-slin,0.1,0.827777778,0.807190082
1000000 50 lin-slin,0.1,0.031533484,0.021682999
1000000 100 lin-slin,0.1,0.052160542,0.064302278
1000000 10 lin-invlin,0.1,0.9625,0.959121323
1000000 50 lin-invlin,0.1,0.036535693,0.045873618
1000000 100 lin-invlin,0.1,0.038332766,0.044629975
1000000 10 lin-randlin,0.1,0.925,0.908438429
1000000 50 lin-randlin,0.1,0.039239924,0.037350116
1000000 100 lin-randlin,0.1,0.053222583,0.056083482
1000000 10 lin-zipf,0.1,0.9125,0.912985006
1000000 50 lin-zipf,0.1,0.060766225,0.241099403
1000000 100 lin-zipf,0.1,0.040653269,0.078639342
1000000 10 zipf-zipf,0.1,0.95,0.977002771
1000000 50 zipf-zipf,0.1,0.046897412,0.327607361
1000000 100 zipf-zipf,0.1,0.021349451,0.251189409
1000000 10 zipf-randzipf,0.1,0.925,0.966392501
1000000 50 zipf-randzipf,0.1,0.052380959,0.184805392
1000000 100 zipf-randzipf,0.1,0.026729532,0.118957438
1000000 10 zipf-invzipf,0.1,0.95,0.972419624
1000000 50 zipf-invzipf,0.1,0.041384957,0.168291847
1000000 100 zipf-invzipf,0.1,0.025930854,0.178306537
