setup,error,v score,r score
10000 10 lin-lin,0.05,1,1
10000 50 lin-lin,0.05,0.018222194,0.013683737
10000 100 lin-lin,0.05,0.068521896,0.081549153
10000 10 lin-slin,0.05,0.9875,0.985544629
10000 50 lin-slin,0.05,0.037223937,0.034719893
10000 100 lin-slin,0.05,0.050055788,0.054828624
10000 10 lin-invlin,0.05,0.172222222,0.174302139
10000 50 lin-invlin,0.05,0.024609441,0.026925471
10000 100 lin-invlin,0.05,0.011163392,0.00993682
10000 10 lin-randlin,0.05,0.19375,0.23471963
10000 50 lin-randlin,0.05,0.025801101,0.034864198
10000 100 lin-randlin,0.05,0.010713905,0.011080022
10000 10 lin-zipf,0.05,0.095138889,0.195076608
10000 50 lin-zipf,0.05,0.035687254,0.15967453
10000 100 lin-zipf,0.05,0.013073687,0.113387931
10000 10 zipf-zipf,0.05,1,1
10000 50 zipf-zipf,0.05,0.047863417,0.311235401
10000 100 zipf-zipf,0.05,0.044788219,0.28408302
10000 10 zipf-randzipf,0.05,0.203472222,0.298945396
10000 50 zipf-randzipf,0.05,0.026178035,0.046838638
10000 100 zipf-randzipf,0.05,0.023845142,0.056915087
10000 10 zipf-invzipf,0.05,0.15625,0.24156329
10000 50 zipf-invzipf,0.05,0.040864935,0.041756843
10000 100 zipf-invzipf,0.05,0.033954621,0.040593754
1000000 10 lin-lin,0.05,1,1
1000000 50 lin-lin,0.05,0.019430014,0.001185861
1000000 100 lin-lin,0.05,0.13478264,0.177622343
1000000 10 lin-slin,0.05,1,1
1000000 50 lin-slin,0.05,0.014554544,0.00575307
1000000 100 lin-slin,0.05,0.104199364,0.134834554
1000000 10 lin-invlin,0.05,0.1125,0.119259311
1000000 50 lin-invlin,0.05,0.023530918,0.022954552
1000000 100 lin-invlin,0.05,0.014014442,0.014621189
1000000 10 lin-randlin,0.05,0.2125,0.180547707
1000000 50 lin-randlin,0.05,0.022924351,0.031890976
1000000 100 lin-randlin,0.05,0.011858417,0.010080665
1000000 10 lin-zipf,0.05,0.1125,0.196469936
1000000 50 lin-zipf,0.05,0.034757219,0.186589474
1000000 100 lin-zipf,0.05,0.013506357,0.111871341
1000000 10 zipf-zipf,0.05,1,1
1000000 50 zipf-zipf,0.05,0.041438475,0.357853186
1000000 100 zipf-zipf,0.05,0.03315516,0.26455794
1000000 10 zipf-randzipf,0.05,0.31875,0.38024227
1000000 50 zipf-randzipf,0.05,0.034718648,0.115570042
1000000 100 zipf-randzipf,0.05,0.018428552,0.104807888
1000000 10 zipf-invzipf,0.05,0.1125,0.237006266
1000000 50 zipf-invzipf,0.05,0.036556374,0.090407023
1000000 100 zipf-invzipf,0.05,0.013882436,0.131415207
1000000 10 lin-lin,0.1,1,1
1000000 50 lin-lin,0.1,0.018347763,0.003127638
1000000 100 lin-lin,0.1,0.100407944,0.127691261
1000000 10 lin-slin,0.1,1,1
1000000 50 lin-slin,0.1,0.014578699,0.010268298
1000000 100 lin-slin,0.1,0.072298813,0.092422872
1000000 10 lin-invlin,0.1,0.15625,0.153574609
1000000 50 lin-invlin,0.1,0.026152207,0.029463031
1000000 100 lin-invlin,0.1,0.012322949,0.01400054
1000000 10 lin-randlin,0.1,0.2125,0.182397919
1000000 50 lin-randlin,0.1,0.021818282,0.031197437
1000000 100 lin-randlin,0.1,0.016352181,0.018427872
1000000 10 lin-zipf,0.1,0.004772786,0.006122221
1000000 50 lin-zipf,0.1,0.15625,0.247559984
1000000 100 lin-zipf,0.1,0.037998115,0.190791798
1000000 10 zipf-zipf,0.1,1,1
1000000 50 zipf-zipf,0.1,0.045987377,0.35901077
1000000 100 zipf-zipf,0.1,0.032819238,0.28207554
1000000 10 zipf-randzipf,0.1,0.17625,0.164839821
1000000 50 zipf-randzipf,0.1,0.031095824,0.019423753
1000000 100 zipf-randzipf,0.1,0.029481039,0.014928412
1000000 10 zipf-invzipf,0.1,0.2125,0.169830194
1000000 50 zipf-invzipf,0.1,0.034820391,0.018252914
1000000 100 zipf-invzipf,0.1,0.016489718,0.014329851
