rows_ciphs_distribution,v-score,r-score,num of good files
1000000_10_lin-lin,0.6638888888888889,0.4913248548015693,10
1000000_50_lin-lin,0.2379648645927716,0.09579115052181884,10
1000000_100_lin-lin,0.1362600242431775,0.07322426543348726,10
1000000_200_lin-lin,0.09391567637063472,0.03807061780767877,10
1000000_500_lin-lin,0.036978937162276675,0.009212926347153915,10
1000000_10_lin-slin,0.7305555555555555,0.5986425021026085,10
1000000_50_lin-slin,0.21809643451706143,0.07091915659844701,10
1000000_100_lin-slin,0.11633122924467529,0.05777984187352099,10
1000000_200_lin-slin,0.06716854980500064,0.03495085937273665,10
1000000_500_lin-slin,0.028384506084739386,0.010277788216977984,10
1000000_10_lin-invlin,1.0,1.0,10
1000000_50_lin-invlin,0.8566215095037458,0.8695395792828121,10
1000000_100_lin-invlin,0.3849653841788673,0.4156123346201377,10
1000000_200_lin-invlin,0.25725612833457656,0.25937689733329145,10
1000000_500_lin-invlin,0.11078580181409756,0.10346860468674501,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_50_lin-randlin,0.7602795109346442,0.6705572349882422,10
1000000_100_lin-randlin,0.5724358618542359,0.4464679123111205,10
1000000_200_lin-randlin,0.39309195645429934,0.27805441525200714,10
1000000_500_lin-randlin,0.18663697576526142,0.12298259193402068,10
1000000_10_lin-zipf,0.75,0.7497356664813595,10
1000000_50_lin-zipf,0.4298295783413999,0.4131811029240022,10
1000000_100_lin-zipf,0.24659030517031297,0.2350186262951584,10
1000000_200_lin-zipf,0.15697857262660458,0.15234614547920336,10
1000000_500_lin-zipf,0.06449340269256208,0.061502477319027735,10
1000000_10_zipf-zipf,0.6,0.9277170332684932,10
1000000_50_zipf-zipf,0.2906198910126152,0.9000868084919004,10
1000000_100_zipf-zipf,0.1727375689242319,0.8644894238548868,10
1000000_200_zipf-zipf,0.0924403798030655,0.8658591844075717,10
1000000_500_zipf-zipf,0.048160449789927784,0.8816316319807223,10
1000000_10_zipf-randzipf,0.925,0.9756520883522682,10
1000000_50_zipf-randzipf,0.7232508045967806,0.8961656721328168,10
1000000_100_zipf-randzipf,0.629106665337934,0.9237572712524136,10
1000000_200_zipf-randzipf,0.37226029435748725,0.7606614255005228,10
1000000_500_zipf-randzipf,0.23190273844083312,0.8547270737009953,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_50_zipf-invzipf,0.6438607835005916,0.7813197028124096,10
1000000_100_zipf-invzipf,0.36094603273280207,0.5791338764812888,10
1000000_200_zipf-invzipf,0.18646811323509402,0.45426636983404184,10
1000000_500_zipf-invzipf,0.07887502497991342,0.38628637157930673,10




1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_10_zipf-randzipf,0.925,0.9756520883522682,10
1000000_50_lin-invlin,0.8566215095037458,0.8695395792828121,10
1000000_50_lin-randlin,0.7602795109346442,0.6705572349882422,10
1000000_10_lin-zipf,0.75,0.7497356664813595,10
1000000_10_lin-slin,0.7305555555555555,0.5986425021026085,10
1000000_50_zipf-randzipf,0.7232508045967806,0.8961656721328168,10
1000000_10_lin-lin,0.6638888888888889,0.4913248548015693,10
1000000_50_zipf-invzipf,0.6438607835005916,0.7813197028124096,10
1000000_100_zipf-randzipf,0.629106665337934,0.9237572712524136,10
1000000_10_zipf-zipf,0.6,0.9277170332684932,10
1000000_100_lin-randlin,0.5724358618542359,0.4464679123111205,10
1000000_50_lin-zipf,0.4298295783413999,0.4131811029240022,10
1000000_200_lin-randlin,0.39309195645429934,0.27805441525200714,10
1000000_100_lin-invlin,0.3849653841788673,0.4156123346201377,10
1000000_200_zipf-randzipf,0.37226029435748725,0.7606614255005228,10
1000000_100_zipf-invzipf,0.36094603273280207,0.5791338764812888,10
1000000_50_zipf-zipf,0.2906198910126152,0.9000868084919004,10
1000000_200_lin-invlin,0.25725612833457656,0.25937689733329145,10
1000000_100_lin-zipf,0.24659030517031297,0.2350186262951584,10
1000000_50_lin-lin,0.2379648645927716,0.09579115052181884,10
1000000_500_zipf-randzipf,0.23190273844083312,0.8547270737009953,10
1000000_50_lin-slin,0.21809643451706143,0.07091915659844701,10
1000000_500_lin-randlin,0.18663697576526142,0.12298259193402068,10
1000000_200_zipf-invzipf,0.18646811323509402,0.45426636983404184,10
1000000_100_zipf-zipf,0.1727375689242319,0.8644894238548868,10
1000000_200_lin-zipf,0.15697857262660458,0.15234614547920336,10
1000000_100_lin-lin,0.1362600242431775,0.07322426543348726,10
1000000_100_lin-slin,0.11633122924467529,0.05777984187352099,10
1000000_500_lin-invlin,0.11078580181409756,0.10346860468674501,10
1000000_200_lin-lin,0.09391567637063472,0.03807061780767877,10
1000000_200_zipf-zipf,0.0924403798030655,0.8658591844075717,10
1000000_500_zipf-invzipf,0.07887502497991342,0.38628637157930673,10
1000000_200_lin-slin,0.06716854980500064,0.03495085937273665,10
1000000_500_lin-zipf,0.06449340269256208,0.061502477319027735,10
1000000_500_zipf-zipf,0.048160449789927784,0.8816316319807223,10
1000000_500_lin-lin,0.036978937162276675,0.009212926347153915,10
1000000_500_lin-slin,0.028384506084739386,0.010277788216977984,10




1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_10_zipf-randzipf,0.925,0.9756520883522682,10
1000000_10_zipf-zipf,0.6,0.9277170332684932,10
1000000_100_zipf-randzipf,0.629106665337934,0.9237572712524136,10
1000000_50_zipf-zipf,0.2906198910126152,0.9000868084919004,10
1000000_50_zipf-randzipf,0.7232508045967806,0.8961656721328168,10
1000000_500_zipf-zipf,0.048160449789927784,0.8816316319807223,10
1000000_50_lin-invlin,0.8566215095037458,0.8695395792828121,10
1000000_200_zipf-zipf,0.0924403798030655,0.8658591844075717,10
1000000_100_zipf-zipf,0.1727375689242319,0.8644894238548868,10
1000000_500_zipf-randzipf,0.23190273844083312,0.8547270737009953,10
1000000_50_zipf-invzipf,0.6438607835005916,0.7813197028124096,10
1000000_200_zipf-randzipf,0.37226029435748725,0.7606614255005228,10
1000000_10_lin-zipf,0.75,0.7497356664813595,10
1000000_50_lin-randlin,0.7602795109346442,0.6705572349882422,10
1000000_10_lin-slin,0.7305555555555555,0.5986425021026085,10
1000000_100_zipf-invzipf,0.36094603273280207,0.5791338764812888,10
1000000_10_lin-lin,0.6638888888888889,0.4913248548015693,10
1000000_200_zipf-invzipf,0.18646811323509402,0.45426636983404184,10
1000000_100_lin-randlin,0.5724358618542359,0.4464679123111205,10
1000000_100_lin-invlin,0.3849653841788673,0.4156123346201377,10
1000000_50_lin-zipf,0.4298295783413999,0.4131811029240022,10
1000000_500_zipf-invzipf,0.07887502497991342,0.38628637157930673,10
1000000_200_lin-randlin,0.39309195645429934,0.27805441525200714,10
1000000_200_lin-invlin,0.25725612833457656,0.25937689733329145,10
1000000_100_lin-zipf,0.24659030517031297,0.2350186262951584,10
1000000_200_lin-zipf,0.15697857262660458,0.15234614547920336,10
1000000_500_lin-randlin,0.18663697576526142,0.12298259193402068,10
1000000_500_lin-invlin,0.11078580181409756,0.10346860468674501,10
1000000_50_lin-lin,0.2379648645927716,0.09579115052181884,10
1000000_100_lin-lin,0.1362600242431775,0.07322426543348726,10
1000000_50_lin-slin,0.21809643451706143,0.07091915659844701,10
1000000_500_lin-zipf,0.06449340269256208,0.061502477319027735,10
1000000_100_lin-slin,0.11633122924467529,0.05777984187352099,10
1000000_200_lin-lin,0.09391567637063472,0.03807061780767877,10
1000000_200_lin-slin,0.06716854980500064,0.03495085937273665,10
1000000_500_lin-slin,0.028384506084739386,0.010277788216977984,10
1000000_500_lin-lin,0.036978937162276675,0.009212926347153915,10




1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
