rows_ciphs_distribution,v-score,r-score,num of good files
1000000_10_lin-lin,1.0,1.0,10
1000000_50_lin-lin,0.5311023859861068,0.5445324198584449,10
1000000_100_lin-lin,0.3619401956880295,0.2614915350858239,10
1000000_200_lin-lin,0.23564421743491085,0.1155754495424047,10
1000000_500_lin-lin,0.08651328520999897,0.02922391508227799,10
1000000_10_lin-slin,1.0,1.0,10
1000000_50_lin-slin,0.4582379916454739,0.4293759362583473,10
1000000_100_lin-slin,0.30519487528270617,0.22546636557958727,10
1000000_200_lin-slin,0.19227172117221158,0.10888621470548059,10
1000000_500_lin-slin,0.05932461737648766,0.028707628308855076,10
1000000_10_lin-invlin,1.0,1.0,10
1000000_50_lin-invlin,0.3991490111405995,0.4000001395581759,10
1000000_100_lin-invlin,0.348773975712178,0.36180446510478037,10
1000000_200_lin-invlin,0.12853525916439448,0.1325622943409312,10
1000000_500_lin-invlin,0.07055964544497956,0.06830497371274452,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_50_lin-randlin,0.6954961412193402,0.798032365221614,10
1000000_100_lin-randlin,0.7651115813392747,0.8462109861394438,10
1000000_200_lin-randlin,0.7152209655818875,0.7439042929324824,10
1000000_500_lin-randlin,0.46321564783777713,0.4870615974276012,10
1000000_10_lin-zipf,1.0,1.0,10
1000000_50_lin-zipf,0.5122729293668131,0.5353201450217006,10
1000000_100_lin-zipf,0.17113127993651958,0.16514971667367645,10
1000000_200_lin-zipf,0.2295531331400528,0.24323365396014593,10
1000000_500_lin-zipf,0.10471154118242273,0.10549962096022787,10
1000000_10_zipf-zipf,1.0,1.0,10
1000000_50_zipf-zipf,0.5784367392271357,0.9882170631061353,10
1000000_100_zipf-zipf,0.4219880937544313,0.9806789689900466,10
1000000_200_zipf-zipf,0.2309041963298612,0.9735352208342366,10
1000000_500_zipf-zipf,0.12639775653610164,0.9801646161725079,10
1000000_10_zipf-randzipf,1.0,1.0,10
1000000_50_zipf-randzipf,0.6821238017815261,0.878327757042386,10
1000000_100_zipf-randzipf,0.7044025534570404,0.9314142118427045,10
1000000_200_zipf-randzipf,0.5567767205948522,0.894373688470304,10
1000000_500_zipf-randzipf,0.44668968011244264,0.9272672524854275,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_50_zipf-invzipf,0.448363952256886,0.6968862568286002,10
1000000_100_zipf-invzipf,0.44329565918923625,0.7146270396896155,10
1000000_200_zipf-invzipf,0.26977248000475906,0.6109184276810795,10
1000000_500_zipf-invzipf,0.13019673515884916,0.5255623629151911,10




1000000_10_lin-lin,1.0,1.0,10
1000000_10_lin-slin,1.0,1.0,10
1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_lin-zipf,1.0,1.0,10
1000000_10_zipf-zipf,1.0,1.0,10
1000000_10_zipf-randzipf,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_100_lin-randlin,0.7651115813392747,0.8462109861394438,10
1000000_200_lin-randlin,0.7152209655818875,0.7439042929324824,10
1000000_100_zipf-randzipf,0.7044025534570404,0.9314142118427045,10
1000000_50_lin-randlin,0.6954961412193402,0.798032365221614,10
1000000_50_zipf-randzipf,0.6821238017815261,0.878327757042386,10
1000000_50_zipf-zipf,0.5784367392271357,0.9882170631061353,10
1000000_200_zipf-randzipf,0.5567767205948522,0.894373688470304,10
1000000_50_lin-lin,0.5311023859861068,0.5445324198584449,10
1000000_50_lin-zipf,0.5122729293668131,0.5353201450217006,10
1000000_500_lin-randlin,0.46321564783777713,0.4870615974276012,10
1000000_50_lin-slin,0.4582379916454739,0.4293759362583473,10
1000000_50_zipf-invzipf,0.448363952256886,0.6968862568286002,10
1000000_500_zipf-randzipf,0.44668968011244264,0.9272672524854275,10
1000000_100_zipf-invzipf,0.44329565918923625,0.7146270396896155,10
1000000_100_zipf-zipf,0.4219880937544313,0.9806789689900466,10
1000000_50_lin-invlin,0.3991490111405995,0.4000001395581759,10
1000000_100_lin-lin,0.3619401956880295,0.2614915350858239,10
1000000_100_lin-invlin,0.348773975712178,0.36180446510478037,10
1000000_100_lin-slin,0.30519487528270617,0.22546636557958727,10
1000000_200_zipf-invzipf,0.26977248000475906,0.6109184276810795,10
1000000_200_lin-lin,0.23564421743491085,0.1155754495424047,10
1000000_200_zipf-zipf,0.2309041963298612,0.9735352208342366,10
1000000_200_lin-zipf,0.2295531331400528,0.24323365396014593,10
1000000_200_lin-slin,0.19227172117221158,0.10888621470548059,10
1000000_100_lin-zipf,0.17113127993651958,0.16514971667367645,10
1000000_500_zipf-invzipf,0.13019673515884916,0.5255623629151911,10
1000000_200_lin-invlin,0.12853525916439448,0.1325622943409312,10
1000000_500_zipf-zipf,0.12639775653610164,0.9801646161725079,10
1000000_500_lin-zipf,0.10471154118242273,0.10549962096022787,10
1000000_500_lin-lin,0.08651328520999897,0.02922391508227799,10
1000000_500_lin-invlin,0.07055964544497956,0.06830497371274452,10
1000000_500_lin-slin,0.05932461737648766,0.028707628308855076,10




1000000_10_lin-lin,1.0,1.0,10
1000000_10_lin-slin,1.0,1.0,10
1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_lin-zipf,1.0,1.0,10
1000000_10_zipf-zipf,1.0,1.0,10
1000000_10_zipf-randzipf,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_50_zipf-zipf,0.5784367392271357,0.9882170631061353,10
1000000_100_zipf-zipf,0.4219880937544313,0.9806789689900466,10
1000000_500_zipf-zipf,0.12639775653610164,0.9801646161725079,10
1000000_200_zipf-zipf,0.2309041963298612,0.9735352208342366,10
1000000_100_zipf-randzipf,0.7044025534570404,0.9314142118427045,10
1000000_500_zipf-randzipf,0.44668968011244264,0.9272672524854275,10
1000000_200_zipf-randzipf,0.5567767205948522,0.894373688470304,10
1000000_50_zipf-randzipf,0.6821238017815261,0.878327757042386,10
1000000_100_lin-randlin,0.7651115813392747,0.8462109861394438,10
1000000_50_lin-randlin,0.6954961412193402,0.798032365221614,10
1000000_200_lin-randlin,0.7152209655818875,0.7439042929324824,10
1000000_100_zipf-invzipf,0.44329565918923625,0.7146270396896155,10
1000000_50_zipf-invzipf,0.448363952256886,0.6968862568286002,10
1000000_200_zipf-invzipf,0.26977248000475906,0.6109184276810795,10
1000000_50_lin-lin,0.5311023859861068,0.5445324198584449,10
1000000_50_lin-zipf,0.5122729293668131,0.5353201450217006,10
1000000_500_zipf-invzipf,0.13019673515884916,0.5255623629151911,10
1000000_500_lin-randlin,0.46321564783777713,0.4870615974276012,10
1000000_50_lin-slin,0.4582379916454739,0.4293759362583473,10
1000000_50_lin-invlin,0.3991490111405995,0.4000001395581759,10
1000000_100_lin-invlin,0.348773975712178,0.36180446510478037,10
1000000_100_lin-lin,0.3619401956880295,0.2614915350858239,10
1000000_200_lin-zipf,0.2295531331400528,0.24323365396014593,10
1000000_100_lin-slin,0.30519487528270617,0.22546636557958727,10
1000000_100_lin-zipf,0.17113127993651958,0.16514971667367645,10
1000000_200_lin-invlin,0.12853525916439448,0.1325622943409312,10
1000000_200_lin-lin,0.23564421743491085,0.1155754495424047,10
1000000_200_lin-slin,0.19227172117221158,0.10888621470548059,10
1000000_500_lin-zipf,0.10471154118242273,0.10549962096022787,10
1000000_500_lin-invlin,0.07055964544497956,0.06830497371274452,10
1000000_500_lin-lin,0.08651328520999897,0.02922391508227799,10
1000000_500_lin-slin,0.05932461737648766,0.028707628308855076,10




1000000_10_lin-lin,1.0,1.0,10
1000000_10_lin-slin,1.0,1.0,10
1000000_10_lin-invlin,1.0,1.0,10
1000000_10_lin-randlin,1.0,1.0,10
1000000_10_lin-zipf,1.0,1.0,10
1000000_10_zipf-zipf,1.0,1.0,10
1000000_10_zipf-randzipf,1.0,1.0,10
1000000_10_zipf-invzipf,1.0,1.0,10
1000000_100_zipf-randzipf,0.7044025534570404,0.9314142118427045,10
1000000_100_lin-randlin,0.7651115813392747,0.8462109861394438,10
1000000_50_zipf-zipf,0.5784367392271357,0.9882170631061353,10
1000000_50_zipf-randzipf,0.6821238017815261,0.878327757042386,10
1000000_50_lin-randlin,0.6954961412193402,0.798032365221614,10
1000000_200_lin-randlin,0.7152209655818875,0.7439042929324824,10
1000000_200_zipf-randzipf,0.5567767205948522,0.894373688470304,10
1000000_100_zipf-zipf,0.4219880937544313,0.9806789689900466,10
1000000_500_zipf-randzipf,0.44668968011244264,0.9272672524854275,10
1000000_200_zipf-zipf,0.2309041963298612,0.9735352208342366,10
1000000_100_zipf-invzipf,0.44329565918923625,0.7146270396896155,10
1000000_50_zipf-invzipf,0.448363952256886,0.6968862568286002,10
1000000_500_zipf-zipf,0.12639775653610164,0.9801646161725079,10
1000000_50_lin-lin,0.5311023859861068,0.5445324198584449,10
1000000_50_lin-zipf,0.5122729293668131,0.5353201450217006,10
1000000_500_lin-randlin,0.46321564783777713,0.4870615974276012,10
1000000_50_lin-slin,0.4582379916454739,0.4293759362583473,10
1000000_200_zipf-invzipf,0.26977248000475906,0.6109184276810795,10
1000000_50_lin-invlin,0.3991490111405995,0.4000001395581759,10
1000000_100_lin-invlin,0.348773975712178,0.36180446510478037,10
1000000_500_zipf-invzipf,0.13019673515884916,0.5255623629151911,10
1000000_100_lin-lin,0.3619401956880295,0.2614915350858239,10
1000000_100_lin-slin,0.30519487528270617,0.22546636557958727,10
1000000_200_lin-zipf,0.2295531331400528,0.24323365396014593,10
1000000_200_lin-lin,0.23564421743491085,0.1155754495424047,10
1000000_100_lin-zipf,0.17113127993651958,0.16514971667367645,10
1000000_200_lin-slin,0.19227172117221158,0.10888621470548059,10
1000000_200_lin-invlin,0.12853525916439448,0.1325622943409312,10
1000000_500_lin-zipf,0.10471154118242273,0.10549962096022787,10
1000000_500_lin-invlin,0.07055964544497956,0.06830497371274452,10
1000000_500_lin-lin,0.08651328520999897,0.02922391508227799,10
1000000_500_lin-slin,0.05932461737648766,0.028707628308855076,10




