dataset name,error,v-score,r-score
DI_1000000_10_lin-invlin0,5,100,100
DI_1000000_10_lin-invlin0,10,100,100
DI_1000000_10_lin-invlin0,20,100,100
DI_1000000_10_lin-invlin1,5,100,100
DI_1000000_10_lin-invlin1,10,100,100
DI_1000000_10_lin-invlin1,20,100,100
DI_1000000_10_lin-invlin2,5,100,100
DI_1000000_10_lin-invlin2,10,100,100
DI_1000000_10_lin-invlin2,20,100,100
DI_1000000_10_lin-invlin3,5,100,100
DI_1000000_10_lin-invlin3,10,100,100
DI_1000000_10_lin-invlin3,20,100,100
DI_1000000_10_lin-invlin4,5,100,100
DI_1000000_10_lin-invlin4,10,100,100
DI_1000000_10_lin-invlin4,20,75,64.19243707
DI_1000000_10_lin-invlin5,5,100,100
DI_1000000_10_lin-invlin5,10,100,100
DI_1000000_10_lin-invlin5,20,100,100
DI_1000000_10_lin-invlin6,5,100,100
DI_1000000_10_lin-invlin6,10,100,100
DI_1000000_10_lin-invlin6,20,75,69.66045146
DI_1000000_10_lin-invlin7,5,100,100
DI_1000000_10_lin-invlin7,10,100,100
DI_1000000_10_lin-invlin7,20,100,100
DI_1000000_10_lin-invlin8,5,100,100
DI_1000000_10_lin-invlin8,10,100,100
DI_1000000_10_lin-invlin8,20,100,100
DI_1000000_10_lin-invlin9,5,100,100
DI_1000000_10_lin-invlin9,10,100,100
DI_1000000_10_lin-invlin9,20,100,100
DI_1000000_50_lin-invlin0,5,86.36363636,79.54731312
DI_1000000_50_lin-invlin0,10,70.45454545,57.99161658
DI_1000000_50_lin-invlin0,20,50,36.00277573
DI_1000000_50_lin-invlin1,5,4.444444444,7.420876507
DI_1000000_50_lin-invlin1,10,6.666666667,11.15655909
DI_1000000_50_lin-invlin1,20,17.77777778,24.52268343
DI_1000000_50_lin-invlin2,5,84.09090909,86.13013963
DI_1000000_50_lin-invlin2,10,81.81818182,83.34312905
DI_1000000_50_lin-invlin2,20,40.90909091,37.35489301
DI_1000000_50_lin-invlin3,5,6.818181818,7.177617949
DI_1000000_50_lin-invlin3,10,15.90909091,12.80736213
DI_1000000_50_lin-invlin3,20,22.72727273,28.11002555
DI_1000000_50_lin-invlin4,5,6.976744186,6.927406001
DI_1000000_50_lin-invlin4,10,11.62790698,7.475462936
DI_1000000_50_lin-invlin4,20,13.95348837,12.06749013
DI_1000000_50_lin-invlin5,5,11.36363636,9.91932512
DI_1000000_50_lin-invlin5,10,11.36363636,10.74949115
DI_1000000_50_lin-invlin5,20,27.27272727,27.13271358
DI_1000000_50_lin-invlin6,5,93.02325581,92.67580934
DI_1000000_50_lin-invlin6,10,76.74418605,72.42162234
DI_1000000_50_lin-invlin6,20,37.20930233,20.22952561
DI_1000000_50_lin-invlin7,5,80.85106383,79.32627782
DI_1000000_50_lin-invlin7,10,85.10638298,80.06200814
DI_1000000_50_lin-invlin7,20,44.68085106,23.46934104
DI_1000000_50_lin-invlin8,5,6.818181818,7.188868457
DI_1000000_50_lin-invlin8,10,11.36363636,12.41974029
DI_1000000_50_lin-invlin8,20,11.36363636,8.530284761
DI_1000000_50_lin-invlin9,5,6.976744186,6.369014381
DI_1000000_50_lin-invlin9,10,9.302325581,8.991017289
DI_1000000_50_lin-invlin9,20,16.27906977,21.52684741
DI_1000000_100_lin-invlin0,5,13.33333333,16.50089675
DI_1000000_100_lin-invlin0,10,25.55555556,26.82191253
DI_1000000_100_lin-invlin0,20,21.11111111,18.13723321
DI_1000000_100_lin-invlin1,5,10.11235955,9.451106562
DI_1000000_100_lin-invlin1,10,21.34831461,21.77321105
DI_1000000_100_lin-invlin1,20,10.11235955,6.515193754
DI_1000000_100_lin-invlin2,5,14.77272727,14.00170768
DI_1000000_100_lin-invlin2,10,18.18181818,15.28703276
DI_1000000_100_lin-invlin2,20,19.31818182,15.63083376
DI_1000000_100_lin-invlin3,5,14.77272727,18.61080411
DI_1000000_100_lin-invlin3,10,13.63636364,15.58187491
DI_1000000_100_lin-invlin3,20,13.63636364,9.736955116
DI_1000000_100_lin-invlin4,5,73.86363636,65.65048017
DI_1000000_100_lin-invlin4,10,44.31818182,33.23346506
DI_1000000_100_lin-invlin4,20,28.40909091,14.90101461
DI_1000000_100_lin-invlin5,5,11.11111111,10.96222069
DI_1000000_100_lin-invlin5,10,12.22222222,10.88474743
DI_1000000_100_lin-invlin5,20,21.11111111,21.25329507
DI_1000000_100_lin-invlin6,5,69.66292135,62.40326178
DI_1000000_100_lin-invlin6,10,46.06741573,38.51045006
DI_1000000_100_lin-invlin6,20,32.58426966,24.477248
DI_1000000_100_lin-invlin7,5,13.63636364,18.82049407
DI_1000000_100_lin-invlin7,10,19.31818182,19.14457609
DI_1000000_100_lin-invlin7,20,17.04545455,15.58257069
DI_1000000_100_lin-invlin8,5,64.44444444,57.72895759
DI_1000000_100_lin-invlin8,10,38.88888889,27.80564865
DI_1000000_100_lin-invlin8,20,23.33333333,11.97795951
DI_1000000_100_lin-invlin9,5,66.66666667,57.57943143
DI_1000000_100_lin-invlin9,10,43.33333333,36.78675375
DI_1000000_100_lin-invlin9,20,31.11111111,18.06272643
DI_1000000_200_lin-invlin0,5,38.37209302,34.20381068
DI_1000000_200_lin-invlin0,10,29.06976744,20.42210175
DI_1000000_200_lin-invlin0,20,12.20930233,7.452017821
DI_1000000_200_lin-invlin1,5,21.02272727,22.04769309
DI_1000000_200_lin-invlin1,10,17.04545455,14.94419345
DI_1000000_200_lin-invlin1,20,8.522727273,6.282785683
DI_1000000_200_lin-invlin2,5,35.35911602,24.41509183
DI_1000000_200_lin-invlin2,10,25.96685083,15.12280246
DI_1000000_200_lin-invlin2,20,13.25966851,5.926875498
DI_1000000_200_lin-invlin3,5,7.471264368,9.467308639
DI_1000000_200_lin-invlin3,10,12.06896552,13.30682925
DI_1000000_200_lin-invlin3,20,8.045977011,8.354538032
DI_1000000_200_lin-invlin4,5,35.95505618,27.6016817
DI_1000000_200_lin-invlin4,10,19.66292135,11.77671972
DI_1000000_200_lin-invlin4,20,15.16853933,11.29738921
DI_1000000_200_lin-invlin5,5,22.72727273,22.10722924
DI_1000000_200_lin-invlin5,10,15.90909091,10.94043247
DI_1000000_200_lin-invlin5,20,13.06818182,6.335820518
DI_1000000_200_lin-invlin6,5,38.06818182,32.90466917
DI_1000000_200_lin-invlin6,10,23.29545455,20.18806222
DI_1000000_200_lin-invlin6,20,17.61363636,11.4969552
DI_1000000_200_lin-invlin7,5,16.85393258,15.77283272
DI_1000000_200_lin-invlin7,10,11.79775281,6.068036506
DI_1000000_200_lin-invlin7,20,10.6741573,7.319212526
DI_1000000_200_lin-invlin8,5,33.52272727,27.05507073
DI_1000000_200_lin-invlin8,10,26.70454545,16.99230168
DI_1000000_200_lin-invlin8,20,15.34090909,8.434286146
DI_1000000_200_lin-invlin9,5,2.89017341,4.162745132
DI_1000000_200_lin-invlin9,10,5.202312139,6.742179434
DI_1000000_200_lin-invlin9,20,9.248554913,7.907238827
DI_1000000_500_lin-invlin0,5,8,7.501210532
DI_1000000_500_lin-invlin0,10,5.333333333,4.530890087
DI_1000000_500_lin-invlin0,20,4.666666667,2.509734122
DI_1000000_500_lin-invlin1,5,10.83521445,8.846901385
DI_1000000_500_lin-invlin1,10,8.803611738,7.148065217
DI_1000000_500_lin-invlin1,20,6.546275395,3.191210217
DI_1000000_500_lin-invlin2,5,4.298642534,5.605871163
DI_1000000_500_lin-invlin2,10,4.524886878,4.256143763
DI_1000000_500_lin-invlin2,20,4.524886878,3.179774084
DI_1000000_500_lin-invlin3,5,8.928571429,7.78676062
DI_1000000_500_lin-invlin3,10,8.928571429,5.432156001
DI_1000000_500_lin-invlin3,20,4.017857143,2.370788349
DI_1000000_500_lin-invlin4,5,12.22222222,10.23353807
DI_1000000_500_lin-invlin4,10,9.111111111,6.179807168
DI_1000000_500_lin-invlin4,20,4.222222222,2.029147678
DI_1000000_500_lin-invlin5,5,10.88435374,8.684769338
DI_1000000_500_lin-invlin5,10,8.390022676,7.242263756
DI_1000000_500_lin-invlin5,20,5.89569161,3.913883854
DI_1000000_500_lin-invlin6,5,10.65759637,8.789725046
DI_1000000_500_lin-invlin6,10,6.12244898,4.470154989
DI_1000000_500_lin-invlin6,20,4.988662132,4.157289961
DI_1000000_500_lin-invlin7,5,10.26785714,9.302737484
