dataset name,error,v-score,r-score
DI_1000000_10_lin-invlin0,5,100,100
DI_1000000_10_lin-invlin0,10,100,100
DI_1000000_10_lin-invlin0,20,100,100
DI_1000000_10_lin-invlin1,5,100,100
DI_1000000_10_lin-invlin1,10,100,100
DI_1000000_10_lin-invlin1,20,100,100
DI_1000000_10_lin-invlin2,5,100,100
DI_1000000_10_lin-invlin2,10,100,100
DI_1000000_10_lin-invlin2,20,100,100
DI_1000000_10_lin-invlin3,5,100,100
DI_1000000_10_lin-invlin3,10,100,100
DI_1000000_10_lin-invlin3,20,100,100
DI_1000000_10_lin-invlin4,5,100,100
DI_1000000_10_lin-invlin4,10,100,100
DI_1000000_10_lin-invlin4,20,75,64.19243707
DI_1000000_10_lin-invlin5,5,100,100
DI_1000000_10_lin-invlin5,10,100,100
DI_1000000_10_lin-invlin5,20,100,100
DI_1000000_10_lin-invlin6,5,100,100
DI_1000000_10_lin-invlin6,10,100,100
DI_1000000_10_lin-invlin6,20,75,69.66045146
DI_1000000_10_lin-invlin7,5,100,100
DI_1000000_10_lin-invlin7,10,100,100
DI_1000000_10_lin-invlin7,20,100,100
DI_1000000_10_lin-invlin8,5,100,100
DI_1000000_10_lin-invlin8,10,100,100
DI_1000000_10_lin-invlin8,20,100,100
DI_1000000_10_lin-invlin9,5,100,100
DI_1000000_10_lin-invlin9,10,100,100
DI_1000000_10_lin-invlin9,20,100,100
DI_1000000_50_lin-invlin0,5,86.36363636,79.54731312
DI_1000000_50_lin-invlin0,10,70.45454545,57.99161658
DI_1000000_50_lin-invlin0,20,50,36.00277573
DI_1000000_50_lin-invlin1,5,8.888888889,7.42120981
DI_1000000_50_lin-invlin1,10,11.11111111,11.15689239
DI_1000000_50_lin-invlin1,20,22.22222222,24.52301674
DI_1000000_50_lin-invlin2,5,84.09090909,86.13013963
DI_1000000_50_lin-invlin2,10,81.81818182,83.34312905
DI_1000000_50_lin-invlin2,20,43.18181818,37.35508703
DI_1000000_50_lin-invlin3,5,9.090909091,8.2652173
DI_1000000_50_lin-invlin3,10,13.63636364,12.80730596
DI_1000000_50_lin-invlin3,20,25,28.92682496
DI_1000000_50_lin-invlin4,5,90.69767442,86.2088009
DI_1000000_50_lin-invlin4,10,69.76744186,64.26183401
DI_1000000_50_lin-invlin4,20,53.48837209,35.7291152
DI_1000000_50_lin-invlin5,5,86.36363636,87.46962597
DI_1000000_50_lin-invlin5,10,59.09090909,58.26561235
DI_1000000_50_lin-invlin5,20,50,42.31314537
DI_1000000_50_lin-invlin6,5,93.02325581,92.67580934
DI_1000000_50_lin-invlin6,10,76.74418605,72.42162234
DI_1000000_50_lin-invlin6,20,34.88372093,20.22938156
DI_1000000_50_lin-invlin7,5,85.10638298,79.32670099
DI_1000000_50_lin-invlin7,10,85.10638298,80.06200083
DI_1000000_50_lin-invlin7,20,48.93617021,23.46976421
DI_1000000_50_lin-invlin8,5,86.36363636,85.58440179
DI_1000000_50_lin-invlin8,10,77.27272727,75.35448742
DI_1000000_50_lin-invlin8,20,56.81818182,41.21999212
DI_1000000_50_lin-invlin9,5,88.37209302,87.06516005
DI_1000000_50_lin-invlin9,10,83.72093023,82.23531786
DI_1000000_50_lin-invlin9,20,58.13953488,48.68435756
DI_1000000_100_lin-invlin0,5,67.77777778,61.76390538
DI_1000000_100_lin-invlin0,10,40,34.93182553
DI_1000000_100_lin-invlin0,20,23.33333333,13.3712689
DI_1000000_100_lin-invlin1,5,14.60674157,15.89761698
DI_1000000_100_lin-invlin1,10,20.2247191,24.56296063
DI_1000000_100_lin-invlin1,20,8.988764045,6.381758088
DI_1000000_100_lin-invlin2,5,1.136363636,1.815166153
DI_1000000_100_lin-invlin2,10,3.409090909,4.46787368
DI_1000000_100_lin-invlin2,20,13.63636364,15.77680115
DI_1000000_100_lin-invlin3,5,18.18181818,19.24760733
DI_1000000_100_lin-invlin3,10,25,21.00166912
DI_1000000_100_lin-invlin3,20,13.63636364,6.940536082
DI_1000000_100_lin-invlin4,5,69.31818182,65.65023318
DI_1000000_100_lin-invlin4,10,39.77272727,33.23321807
DI_1000000_100_lin-invlin4,20,23.86363636,14.90076763
DI_1000000_100_lin-invlin5,5,73.33333333,70.98815363
DI_1000000_100_lin-invlin5,10,45.55555556,33.33902538
DI_1000000_100_lin-invlin5,20,28.88888889,19.23000648
DI_1000000_100_lin-invlin6,5,12.35955056,16.95584138
DI_1000000_100_lin-invlin6,10,15.73033708,16.40904425
DI_1000000_100_lin-invlin6,20,19.1011236,19.05461058
DI_1000000_100_lin-invlin7,5,3.409090909,3.539746137
DI_1000000_100_lin-invlin7,10,13.63636364,14.19320032
DI_1000000_100_lin-invlin7,20,10.22727273,7.937193919
DI_1000000_100_lin-invlin8,5,60,57.72753952
DI_1000000_100_lin-invlin8,10,37.77777778,27.80552662
DI_1000000_100_lin-invlin8,20,23.33333333,11.97773563
DI_1000000_100_lin-invlin9,5,10,12.06820718
DI_1000000_100_lin-invlin9,10,14.44444444,14.26179923
DI_1000000_100_lin-invlin9,20,16.66666667,15.1015895
DI_1000000_200_lin-invlin0,5,20.34883721,22.1735655
DI_1000000_200_lin-invlin0,10,13.95348837,14.22415361
DI_1000000_200_lin-invlin0,20,12.20930233,9.563714888
DI_1000000_200_lin-invlin1,5,34.09090909,25.99999808
DI_1000000_200_lin-invlin1,10,23.29545455,14.93441981
DI_1000000_200_lin-invlin1,20,11.36363636,6.172398023
DI_1000000_200_lin-invlin2,5,30.93922652,24.41407265
DI_1000000_200_lin-invlin2,10,22.6519337,15.1224037
DI_1000000_200_lin-invlin2,20,10.49723757,5.926639592
DI_1000000_200_lin-invlin3,5,31.03448276,23.4189823
DI_1000000_200_lin-invlin3,10,25.28735632,14.6844973
DI_1000000_200_lin-invlin3,20,12.64367816,10.14557501
DI_1000000_200_lin-invlin4,5,15.73033708,17.25106593
DI_1000000_200_lin-invlin4,10,12.92134831,13.82423686
DI_1000000_200_lin-invlin4,20,11.23595506,9.96181502
DI_1000000_200_lin-invlin5,5,21.59090909,22.01958957
DI_1000000_200_lin-invlin5,10,10.22727273,7.234229971
DI_1000000_200_lin-invlin5,20,9.090909091,6.2945912
DI_1000000_200_lin-invlin6,5,2.840909091,3.954651389
DI_1000000_200_lin-invlin6,10,7.386363636,7.913885332
DI_1000000_200_lin-invlin6,20,7.954545455,5.143478137
DI_1000000_200_lin-invlin7,5,10.6741573,10.90687653
DI_1000000_200_lin-invlin7,10,8.988764045,9.290948268
DI_1000000_200_lin-invlin7,20,7.865168539,6.897156565
DI_1000000_200_lin-invlin8,5,9.090909091,11.27062433
DI_1000000_200_lin-invlin8,10,8.522727273,7.812256152
DI_1000000_200_lin-invlin8,20,5.681818182,6.040874848
DI_1000000_200_lin-invlin9,5,12.71676301,14.33799464
DI_1000000_200_lin-invlin9,10,15.02890173,15.19703159
DI_1000000_200_lin-invlin9,20,6.936416185,5.276015359
DI_1000000_500_lin-invlin0,5,9.111111111,6.873314
DI_1000000_500_lin-invlin0,10,4.666666667,5.006598406
DI_1000000_500_lin-invlin0,20,4.888888889,2.432404176
DI_1000000_500_lin-invlin1,5,12.41534989,8.705949801
DI_1000000_500_lin-invlin1,10,9.93227991,8.674708447
DI_1000000_500_lin-invlin1,20,4.740406321,2.65618287
DI_1000000_500_lin-invlin2,5,6.334841629,7.20768241
DI_1000000_500_lin-invlin2,10,5.20361991,5.249581133
DI_1000000_500_lin-invlin2,20,3.167420814,2.832338844
DI_1000000_500_lin-invlin3,5,8.482142857,7.786779882
DI_1000000_500_lin-invlin3,10,6.026785714,5.43207948
DI_1000000_500_lin-invlin3,20,2.678571429,2.370137737
DI_1000000_500_lin-invlin4,5,8.888888889,8.762841163
DI_1000000_500_lin-invlin4,10,6.444444444,4.825767299
DI_1000000_500_lin-invlin4,20,3.111111111,1.318919923
DI_1000000_500_lin-invlin5,5,9.977324263,7.505597815
DI_1000000_500_lin-invlin5,10,7.029478458,6.364089324
DI_1000000_500_lin-invlin5,20,3.854875283,3.450112139
DI_1000000_500_lin-invlin6,5,12.92517007,10.6744974
DI_1000000_500_lin-invlin6,10,8.390022676,6.221306665
DI_1000000_500_lin-invlin6,20,6.349206349,4.740325378
DI_1000000_500_lin-invlin7,5,8.258928571,9.091970862
DI_1000000_500_lin-invlin7,10,4.241071429,3.81215109
