dataset name,error,v-score,r-score
DI_1000000_10_lin-invlin0,5,100,100
DI_1000000_10_lin-invlin0,10,100,100
DI_1000000_10_lin-invlin0,20,100,100
DI_1000000_10_lin-invlin1,5,100,100
DI_1000000_10_lin-invlin1,10,100,100
DI_1000000_10_lin-invlin1,20,100,100
DI_1000000_10_lin-invlin2,5,100,100
DI_1000000_10_lin-invlin2,10,100,100
DI_1000000_10_lin-invlin2,20,100,100
DI_1000000_10_lin-invlin3,5,100,100
DI_1000000_10_lin-invlin3,10,100,100
DI_1000000_10_lin-invlin3,20,100,100
DI_1000000_10_lin-invlin4,5,100,100
DI_1000000_10_lin-invlin4,10,100,100
DI_1000000_10_lin-invlin4,20,75,64.19243707
DI_1000000_10_lin-invlin5,5,100,100
DI_1000000_10_lin-invlin5,10,100,100
DI_1000000_10_lin-invlin5,20,100,100
DI_1000000_10_lin-invlin6,5,100,100
DI_1000000_10_lin-invlin6,10,100,100
DI_1000000_10_lin-invlin6,20,75,69.66045146
DI_1000000_10_lin-invlin7,5,100,100
DI_1000000_10_lin-invlin7,10,100,100
DI_1000000_10_lin-invlin7,20,100,100
DI_1000000_10_lin-invlin8,5,100,100
DI_1000000_10_lin-invlin8,10,100,100
DI_1000000_10_lin-invlin8,20,100,100
DI_1000000_10_lin-invlin9,5,100,100
DI_1000000_10_lin-invlin9,10,100,100
DI_1000000_10_lin-invlin9,20,100,100
DI_1000000_50_lin-invlin0,5,84.09090909,79.54713256
DI_1000000_50_lin-invlin0,10,68.18181818,57.99143602
DI_1000000_50_lin-invlin0,20,47.72727273,36.00259517
DI_1000000_50_lin-invlin1,5,4.444444444,7.420876507
DI_1000000_50_lin-invlin1,10,6.666666667,11.15655909
DI_1000000_50_lin-invlin1,20,17.77777778,24.52268343
DI_1000000_50_lin-invlin2,5,9.090909091,10.36235304
DI_1000000_50_lin-invlin2,10,11.36363636,13.22696434
DI_1000000_50_lin-invlin2,20,18.18181818,13.76958016
DI_1000000_50_lin-invlin3,5,90.90909091,85.72637098
DI_1000000_50_lin-invlin3,10,77.27272727,70.75811176
DI_1000000_50_lin-invlin3,20,45.45454545,36.59429607
DI_1000000_50_lin-invlin4,5,90.69767442,86.2088009
DI_1000000_50_lin-invlin4,10,69.76744186,64.26183401
DI_1000000_50_lin-invlin4,20,51.1627907,35.45317742
DI_1000000_50_lin-invlin5,5,86.36363636,87.46956022
DI_1000000_50_lin-invlin5,10,63.63636364,58.26617673
DI_1000000_50_lin-invlin5,20,47.72727273,42.31289605
DI_1000000_50_lin-invlin6,5,9.302325581,3.960167535
DI_1000000_50_lin-invlin6,10,74.41860465,72.4217036
DI_1000000_50_lin-invlin6,20,23.25581395,20.96942579
DI_1000000_50_lin-invlin7,5,12.76595745,7.114868148
DI_1000000_50_lin-invlin7,10,14.89361702,9.269366004
DI_1000000_50_lin-invlin7,20,17.0212766,12.04035258
DI_1000000_50_lin-invlin8,5,11.36363636,10.54623896
DI_1000000_50_lin-invlin8,10,15.90909091,11.67795398
DI_1000000_50_lin-invlin8,20,22.72727273,23.77989947
DI_1000000_50_lin-invlin9,5,6.976744186,6.369014381
DI_1000000_50_lin-invlin9,10,9.302325581,8.991017289
DI_1000000_50_lin-invlin9,20,16.27906977,21.52684741
DI_1000000_100_lin-invlin0,5,13.33333333,15.60143409
DI_1000000_100_lin-invlin0,10,15.55555556,15.47102347
DI_1000000_100_lin-invlin0,20,14.44444444,13.10796977
DI_1000000_100_lin-invlin1,5,10.11235955,9.451140691
DI_1000000_100_lin-invlin1,10,20.2247191,21.77308193
DI_1000000_100_lin-invlin1,20,8.988764045,6.514906466
DI_1000000_100_lin-invlin2,5,12.5,14.00138599
DI_1000000_100_lin-invlin2,10,15.90909091,15.28671108
DI_1000000_100_lin-invlin2,20,19.31818182,15.77619058
DI_1000000_100_lin-invlin3,5,15.90909091,18.61083288
DI_1000000_100_lin-invlin3,10,14.77272727,15.58190368
DI_1000000_100_lin-invlin3,20,14.77272727,9.736983887
DI_1000000_100_lin-invlin4,5,3.409090909,2.807296722
DI_1000000_100_lin-invlin4,10,11.36363636,9.932057533
DI_1000000_100_lin-invlin4,20,12.5,11.04216692
DI_1000000_100_lin-invlin5,5,11.11111111,10.89344516
DI_1000000_100_lin-invlin5,10,13.33333333,10.88504253
DI_1000000_100_lin-invlin5,20,23.33333333,21.32277811
DI_1000000_100_lin-invlin6,5,12.35955056,16.95584138
DI_1000000_100_lin-invlin6,10,13.48314607,16.40864599
DI_1000000_100_lin-invlin6,20,20.2247191,19.05468754
DI_1000000_100_lin-invlin7,5,14.77272727,18.89489343
DI_1000000_100_lin-invlin7,10,21.59090909,19.65032454
DI_1000000_100_lin-invlin7,20,18.18181818,16.03039929
DI_1000000_100_lin-invlin8,5,58.88888889,57.72660458
DI_1000000_100_lin-invlin8,10,37.77777778,27.8059544
DI_1000000_100_lin-invlin8,20,21.11111111,11.90644818
DI_1000000_100_lin-invlin9,5,17.77777778,21.20162775
DI_1000000_100_lin-invlin9,10,8.888888889,9.477434556
DI_1000000_100_lin-invlin9,20,15.55555556,7.611290855
DI_1000000_200_lin-invlin0,5,22.09302326,22.26887461
DI_1000000_200_lin-invlin0,10,16.27906977,14.39690796
DI_1000000_200_lin-invlin0,20,13.37209302,9.418453756
DI_1000000_200_lin-invlin1,5,6.25,5.999799889
DI_1000000_200_lin-invlin1,10,7.954545455,9.181160637
DI_1000000_200_lin-invlin1,20,2.272727273,1.843967887
DI_1000000_200_lin-invlin2,5,6.629834254,7.78535265
DI_1000000_200_lin-invlin2,10,8.839779006,9.591861156
DI_1000000_200_lin-invlin2,20,6.077348066,4.23157413
DI_1000000_200_lin-invlin3,5,6.896551724,6.046740551
DI_1000000_200_lin-invlin3,10,5.172413793,5.970586851
DI_1000000_200_lin-invlin3,20,6.896551724,4.864720288
DI_1000000_200_lin-invlin4,5,17.41573034,18.92474663
DI_1000000_200_lin-invlin4,10,14.60674157,13.64245644
DI_1000000_200_lin-invlin4,20,7.865168539,8.408674338
DI_1000000_200_lin-invlin5,5,19.88636364,22.08944652
DI_1000000_200_lin-invlin5,10,14.20454545,10.88517786
DI_1000000_200_lin-invlin5,20,9.659090909,5.972577085
DI_1000000_200_lin-invlin6,5,3.977272727,4.996135911
DI_1000000_200_lin-invlin6,10,7.954545455,8.744173332
DI_1000000_200_lin-invlin6,20,8.522727273,5.888706339
DI_1000000_200_lin-invlin7,5,4.494382022,5.280948433
DI_1000000_200_lin-invlin7,10,10.11235955,11.25924638
DI_1000000_200_lin-invlin7,20,6.741573034,5.759164075
DI_1000000_200_lin-invlin8,5,9.090909091,11.28895262
DI_1000000_200_lin-invlin8,10,7.386363636,7.756746719
DI_1000000_200_lin-invlin8,20,5.681818182,6.040421819
DI_1000000_200_lin-invlin9,5,16.76300578,14.61380618
DI_1000000_200_lin-invlin9,10,16.1849711,15.23423448
DI_1000000_200_lin-invlin9,20,8.670520231,5.313547824
DI_1000000_500_lin-invlin0,5,1.777777778,1.509698469
DI_1000000_500_lin-invlin0,10,3.111111111,2.832388163
DI_1000000_500_lin-invlin0,20,1.777777778,1.2429077
DI_1000000_500_lin-invlin1,5,0.4514672686,0.7388486627
DI_1000000_500_lin-invlin1,10,2.483069977,2.798417234
DI_1000000_500_lin-invlin1,20,2.031602709,1.506046909
DI_1000000_500_lin-invlin2,5,0.2262443439,0.3907444738
DI_1000000_500_lin-invlin2,10,1.809954751,2.282961711
DI_1000000_500_lin-invlin2,20,1.583710407,1.490269509
DI_1000000_500_lin-invlin3,5,1.116071429,0.589382745
DI_1000000_500_lin-invlin3,10,1.785714286,1.203519356
DI_1000000_500_lin-invlin3,20,2.901785714,2.41128804
DI_1000000_500_lin-invlin4,5,2,1.918842124
DI_1000000_500_lin-invlin4,10,2.444444444,2.568904211
DI_1000000_500_lin-invlin4,20,2.888888889,2.183596995
DI_1000000_500_lin-invlin5,5,0.4535147392,0.7710213675
DI_1000000_500_lin-invlin5,10,1.360544218,1.626104354
DI_1000000_500_lin-invlin5,20,2.494331066,2.713897702
DI_1000000_500_lin-invlin6,5,0.4535147392,0.3529111661
DI_1000000_500_lin-invlin6,10,1.814058957,2.31384667
DI_1000000_500_lin-invlin6,20,2.267573696,3.073156198
DI_1000000_500_lin-invlin7,5,2.008928571,1.117743937
